"";"No.";"Species";"Ring";"Nest_Brood";"Observer";"Sample_Date";"Brood_Status";"ID";"GC_Sample";"Date_Preparation";"Date_GC";"Sex";"Evaporated_fine_Scale";"Septum";"Date_Reffilling";"Evaporated";"Age";"Lat";"Long";"Incubation_Start";"Incubation_End";"Clutch_Fate";"Hatching_Date";"Incubation_Days";"Brood_Days";"easting";"northing";"Nest_or_Brood_Age";"time"
"w72";80;"WFP";"FH73355";414;"LEP";424;"Nest";"FH73355W424";"W72";1204;1208;"f";0;0;1201;0;"A";321057;7555904;412;NA;NA;NA;12;NA;321057;7555904;"12";1634
"w74";82;"WFP";"FH69091";407;"LEP";402;"Nest";"FH69091W402";"W74";1204;1208;"f";0;0;1201;0;"A";321007;7555917;325;404;"abandoned";NA;8;NA;321007;7555917;"8";1110
"w75";83;"KIP";"FH72663";113;"OV";328;"Nest";"FH72663W328";"W75";1204;1208;"f";0;0;1201;0;"A";NA;NA;318;330;"PRED";NA;10;NA;319965;7557193;"8";1340
"w78";86;"WFP";"FH68858";115;"OV";430;"Brood";"FH68858W430";"W78";1204;1208;"m";0;0;1201;0;"A";NA;NA;404;428;"hatched";428;NA;2;319586;7555486;NA;840
"w79";87;"MP";"FH72201";109;"OV";409;"Nest";"FH72201W409";"W79";1204;1208;"f";0;0;1201;0;"A";NA;NA;406;NA;NA;NA;3;NA;319450;7556058;"3";1000
"w8";8;"KIP";"FH68740";417;"LEP";330;"Nest";"FH68740W330";"W8";1126;1208;"f";2;0;1118;1;"A";320843;7555958;316;NA;NA;NA;14;NA;320843;7555958;"14";NA
"w80";88;"WFP";"FH72488";414;"LEP";425;"Nest";"FH72488W425";"W80";1204;1208;"m";0;0;1201;0;"A";321057;7555904;412;NA;NA;NA;13;NA;321057;7555904;"13";1426
"w81";89;"MP";"FH73555";101;"OV";427;"Brood";"FH73555W427";"W81";1204;1208;"m";0;0;1201;0;"A";NA;NA;318;415;"hatched";415;28;9;319680;7556082;NA;1540
"w82";90;"WFP";"FH68748";404;"LEP";407;"Nest";"FH68748W407";"W82";1204;1208;"m";0;0;1201;0;"A";319925;7554453;327;423;"abandoned";NA;11;NA;319925;7554453;"11";950
"w83";91;"MP";"FH47132";402;"LEP";331;"Nest";"FH47132W331";"W83";1204;1208;"f";0;0;1201;0;"A";319835;7553745;323;402;"predated?";NA;8;NA;319623;7553880;"8";1015
"w84";94;"KIP";"FH47404";111;"OV";331;"Nest";"FH47404W331";"W84";1204;1208;"f";0;0;1201;0;"A";NA;NA;315;408;"predated?";NA;16;NA;320252;7555810;"16";1330
"w9";9;"KIP";"FH47073";406;"LEP";323;"Nest";"FH47073W423";"W9";1126;1208;"f";0;0;1118;0;"A";320957;7556261;316;410;"hatched";410;7;NA;320957;7556261;"7";1215
