"mean_RT"	"w1"	"w2"	"w3"	"w4"	"w5"	"w6"	"w7"	"w8"	"w9"	"w10"	"w11"	"w12"	"w13"	"w14"	"w15"	"w16"	"w18"	"w19"	"w20"	"w21"	"w22"	"w23"	"w24"	"w25"	"w26"	"w27"	"w28"	"w29"	"w30"	"w31"	"w32"	"w33"	"w34"	"w35"	"w36"	"w38"	"w39"	"w40"	"w42"	"w43"	"w44"	"w45"	"w48"	"w49"	"w50"	"w51"	"w52"	"w53"	"w54"	"w55"	"w56"	"w58"	"w59"	"w60"	"w61"	"w62"	"w63"	"w64"	"w65"	"w66"	"w68"	"w69"	"w70"	"w71"	"w72"	"w73"	"w74"	"w75"	"w76"	"w78"	"w79"	"w80"	"w81"	"w82"	"w83"	"w84"
32.4625	0	0	603.23	0	240.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	902.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	748.59	0	0	0	0	0	0	0	0	0
32.6466666666667	0	0	0	0	0	0	0	0	0	6.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63	13.96	0	0	0	0
32.6866666666667	0	0	0	0	0	0	0	0	0	3.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7	0	0	0	0	0
32.7433333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.96	0	0	0	0	5.25	0	0	0	0	0	0	0	0	4.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.9575	0	0	0	0	0	0	0	0	2.94	0	0	0	0	0	0	3.18	7.7	11.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.9966666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.03	0	0	0	0	0	0	12.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.71	10.86	0	0	4.14
33.0333333333333	0	0	0	0	0	0	0	0	0	9.78	14.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.96	21.92	2.72	13.09	0	20.4	0
33.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.37	0	0	0	0
33.1066666666667	0	0	0	0	0	0	0	0	0	10.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01	1.92	0	0	0	0	0	0	0	66.02	0	0	0	0	0	0	0	0	19.89	0	0	0	0	0	0	0	0	0
33.1516666666667	0	0	18.33	0	0	0	0	0	0	0	8.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77	3.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0	6.1	0
33.1875	0	0	0	0	15.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.31	0	0	0	0	0	0	0	0	0	4.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.2133333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8	0	0	0	0	0	0	0	0	0	0	5.65	0	0	0	0	0	0
33.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.3	0	0	0	0	0	0	0	0	9.1	0	0	0	0	0	0	0	0	0
33.315	0	0	0	0	0	0	0	0	0	6.81	0	0	0	0	0	4.35	0	0	0	0	0	0	0	0	0	13.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.95	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.73	0	0	0	17.44	0
33.394	0	0	0	0	0	0	0	0	3.72	0	0	0	0	0	0	0	12.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.97	0	0	0	0	0	1.59	0	0	9.25	0	0
33.4335714285714	0	0	0	0	0	0	0	0	0	14.83	14.49	0	0	0	0	0	0	0	0	0	0	31.54	11.21	0	18.15	0	0	2.46	0	15.58	0	0	0	0	17.12	0	0	0	0	0	0	0	3.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.76	31.02	0	0	0	0	0	8.08	0	0	0	0	0	0	0	13.12	0	0	8.97
33.466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91	64.05	0	0	0	0	23.71	17.82	0	0	0	0	0	0	0	0	0	0	0	0	0	27.96	0	0	0	0	0	35.19	13.6	0	10.98	0	17.16	0
33.5	0	0	0	16.89	0	0	0	0	0	0	11.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.66	0	0	0	0	33.22	0	0	0	0
33.5809090909091	0	0	31.9	0	13.03	0	0	0	2.82	0	0	0	16.98	0	0	0	6.13	0	11	0	0	0	0	0	0	67.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.11	8.91	0	0	0	0	0	0	0	29.96	0	0	0	0	0	0	0	0	5.16
33.6172222222222	0	0	0	0	0	0	42.1	0	0	19.43	19.99	0	0	0	0	6.44	0	20.6	0	0	0	0	12.29	0	5.69	0	0	23.84	0	0	3.92	0	0	0	10.01	0	0	14.35	0	0	0	0	12.27	0	0	0	0	0	33.13	25.56	0	0	0	0	0	0	0	0	0	0	0	0	0	25.09	0	0	0	0	0	0	19.69	0	16.89	0	36.85	0
33.6575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43	0	0	0	0	0	0	0	0	40.3	0	0	0	0	0	0	0	36.99	0	25.98	0	0	0	0	0	0	30.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.73	0	15.54	12.79	0	0	0
33.7275	0	0	15.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.54	0	0	0	0	0	0	0	0	31.19	0	0	0	0	0	0	0	0	0
33.8028571428571	0	0	0	0	12	0	0	7.92	6.67	0	0	0	0	0	0	0	0	0	0	10.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.91	0	0	0	0	0	0	0	3.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.64	0	0
33.8336363636364	0	0	0	0	0	0	0	0	0	35.88	0	0	17.42	0	23.48	7.35	18.38	16.92	8.15	0	0	44.01	25.56	0	28.93	0	0	0	0	10.6	3.99	0	0	0	13.32	7.79	0	8.4	0	0	13.73	0	18.86	0	0	0	0	0	0	0	0	0	3.81	0	0	0	0	0	36.09	0	0	0	0	0	25.26	0	0	0	0	24.04	0	0	0	0	0	13.11
33.8853333333333	0	0	0	0	0	0	37.46	0	0	0	49.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.83	0	0	0	0	0	38.24	11.79	0	0	6.23	0	0	0	0	0	0	0	0	0	0	60.68	42.31	60.17	0	0	0	0	0	0	0	0	0	0	0	0	47.26	0	0	0	0	0	36.66	36.47	75.89	55.35	0	48.1	0
33.925	0	0	0	20.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.63	0	100.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.43	0	0	0	0	0	0	0	0	0
33.985	0	11.57	40.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34.1385714285714	0	0	0	0	0	0	29.58	0	4.74	22.82	0	0	11.81	0	0	6.38	12.38	10.45	6.37	6.18	0	0	17.16	0	18.59	0	0	0	0	5.9	2.76	0	0	0	0	0	0	9.79	0	0	0	0	19.95	0	0	0	0	0	0	34.47	0	0	0	0	0	0	0	0	17.97	0	0	0	0	37.16	14.28	0	0	0	0	0	0	0	0	5.91	0	8.88
34.173	0	0	0	0	0	0	0	0	0	0	30.24	0	0	0	0	0	0	0	0	0	0	19.16	0	0	0	0	0	32.72	0	0	0	0	0	0	18.39	0	0	0	0	0	0	0	0	0	0	0	0	0	44.58	0	52.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.97	26.79	0	45.18	0	50.57	0
34.2133333333333	0	0	0	4.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.63	0	0	0	0	0	0	0	53.18	0	50.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.97	0	0	0	0	45.38	0	0	0	0
34.2675	0	0	27.35	3.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34.295	0	0	0	0	17.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34.7411111111111	0	0	0	0	0	0	0	0	5.45	0	0	0	4.44	0	0	2.89	15.11	12.87	0	6.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.52	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.75
34.7725	0	0	0	0	0	0	0	6.44	0	13.4	0	0	1.77	0	0	4.98	0	0	3.1	0	0	45.2	10.2	0	21.61	0	0	12.72	0	11.12	3.07	0	0	27.62	22.66	0	0	4.51	0	0	0	0	15.69	0	4.17	0	0	0	0	0	0	0	0	0	0	0	0	0	29.25	0	0	0	0	0	24.15	0	0	0	0	50.04	0	0	0	10.42	0	0
34.8135294117647	0	0	0	0	0	0	32.06	0	0	12.95	41.38	0	7.23	0	0	0	0	0	5.99	0	0	0	14.08	0	0	0	0	17.41	0	0	0	0	0	0	0	7.29	0	7.68	0	0	0	0	0	79.87	0	0	0	0	59.61	37.6	42.59	0	0	0	0	0	0	0	0	0	0	0	0	43.01	0	0	0	0	0	0	37.36	61.01	43.07	0	0	0
34.85	0	0	0	18.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.19	0	0	0	0	0	0	0	44.96	0
34.905	0	0	49.89	0	0	0	0	0	0	6.78	0	0	0	0	0	0	0	0	6.29	0	0	0	0	0	0	117.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35.6944	0	0	0	0	0	0	0	194.27	107.51	173.12	0	0	182.88	0	196	0	114.62	94.06	105.07	113.83	0	0	0	96.27	0	0	39.12	0	24.51	105.63	0	74.63	0	0	0	85.8	91.75	123.32	0	0	132.4	0	193.95	0	0	0	0	174.66	0	0	0	103	0	0	0	0	0	0	0	105.27	0	0	0	0	256.31	0	0	0	0	0	0	0	0	120.93	0	158.28
35.745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340.5	281.31	0	248.87	0	0	0	0	0	0	0	0	270.7	260.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218.13	0	0	0	0	437	0	0	0	0	0	0	275.89	0	0	0	0	0
